Event Title ,Billing ,Songkick Artist URI,Artist,Latitude ,Longitude ,Number 1 Streamed Track ,Number of Listeners,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortician with Funerus, Sacrificial Blood, and SICK BAY at Saint Vitus (November 15, 2019)",support,http://www.songkick.com/artists/487611-funerus?utm_source=59227&utm_medium=partner,Funerus,40.73677,-73.955,Suffering Life,"1,501",Saint Vitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortician with Funerus, Sacrificial Blood, and SICK BAY at Saint Vitus (November 15, 2019)",support,http://www.songkick.com/artists/631075-sacrificial-blood?utm_source=59227&utm_medium=partner,Sacrificial Blood,40.73677,-73.955,Reign Of Hate,136,Saint Vitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortician with Funerus, Sacrificial Blood, and SICK BAY at Saint Vitus (November 15, 2019)",support,http://www.songkick.com/artists/1330210-sick-bay?utm_source=59227&utm_medium=partner,SICK BAY,40.73677,-73.955,Jabroni,9,Saint Vitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedrito Martinez with Jhair Sala, Isaac Delgado En Vivo, Sebastian Natal, and 1 more… at 92nd Street Y (November 15, 2019)",headline,http://www.songkick.com/artists/633612-pedrito-martinez?utm_source=59227&utm_medium=partner,Pedrito Martinez,40.78275,-73.95291,The Peanut Vendor,541,92nd Street Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedrito Martinez with Jhair Sala, Isaac Delgado En Vivo, Sebastian Natal, and 1 more… at 92nd Street Y (November 15, 2019)",support,http://www.songkick.com/artists/9292829-jhair-sala?utm_source=59227&utm_medium=partner,Jhair Sala,40.78275,-73.95291,Unlisted,unlisted,92nd Street Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedrito Martinez with Jhair Sala, Isaac Delgado En Vivo, Sebastian Natal, and 1 more… at 92nd Street Y (November 15, 2019)",support,http://www.songkick.com/artists/4175166-isaac-delgado-en-vivo?utm_source=59227&utm_medium=partner,Isaac Delgado En Vivo,40.78275,-73.95291,dos mujeres,1,92nd Street Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedrito Martinez with Jhair Sala, Isaac Delgado En Vivo, Sebastian Natal, and 1 more… at 92nd Street Y (November 15, 2019)",support,http://www.songkick.com/artists/9292814-sebastian-natal?utm_source=59227&utm_medium=partner,Sebastian Natal,40.78275,-73.95291,Unlisted,unlisted,92nd Street Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedrito Martinez with Jhair Sala, Isaac Delgado En Vivo, Sebastian Natal, and 1 more… at 92nd Street Y (November 15, 2019)",support,http://www.songkick.com/artists/10072076-xito-lovell?utm_source=59227&utm_medium=partner,Xito Lovell,40.78275,-73.95291,Unlisted,unlisted,92nd Street Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loud Luxury with Black Caviar at Great Hall, Avant Gardner (November 15, 2019)",headline,http://www.songkick.com/artists/5862829-loud-luxury?utm_source=59227&utm_medium=partner,Loud Luxury,40.71068,-73.92635,Body,"116,176","Great Hall, Avant Gardner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loud Luxury with Black Caviar at Great Hall, Avant Gardner (November 15, 2019)",support,http://www.songkick.com/artists/7257274-black-caviar?utm_source=59227&utm_medium=partner,Black Caviar,40.71068,-73.92635,Lady (Hear Me Tonight),"16,594","Great Hall, Avant Gardner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kate Davis with Miss Grit and Emily Jackson at Zone One, Elsewhere (November 15, 2019)",headline,http://www.songkick.com/artists/2031201-kate-davis?utm_source=59227&utm_medium=partner,Kate Davis,40.70948,-73.92319,rbbts,"3,057","Zone One, Elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kate Davis with Miss Grit and Emily Jackson at Zone One, Elsewhere (November 15, 2019)",support,http://www.songkick.com/artists/9753019-miss-grit?utm_source=59227&utm_medium=partner,Miss Grit,40.70948,-73.92319,Talk Talk,"2,575","Zone One, Elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kate Davis with Miss Grit and Emily Jackson at Zone One, Elsewhere (November 15, 2019)",support,http://www.songkick.com/artists/5391113-emily-jackson?utm_source=59227&utm_medium=partner,Emily Jackson,40.70948,-73.92319,Higher,10,"Zone One, Elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sammy Rae with Melt The Band (NYC) at (le) Poisson Rouge (November 15, 2019)",headline,http://www.songkick.com/artists/3482761-sammy-rae?utm_source=59227&utm_medium=partner,Sammy Rae,40.72848,-74.00005,The Feeling,"1,508",(le) Poisson Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sammy Rae with Melt The Band (NYC) at (le) Poisson Rouge (November 15, 2019)",support,http://www.songkick.com/artists/9233199-melt-the-band-nyc?utm_source=59227&utm_medium=partner,Melt The Band (NYC),40.72848,-74.00005,Unlisted,unlisted,(le) Poisson Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O.A.R. at Paramount Theater (November 15, 2019)",headline,http://www.songkick.com/artists/168886-oar?utm_source=59227&utm_medium=partner,O.A.R.,40.62816,-74.07662,Love And Memories,"80,254",Paramount Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR/ST at Knockdown Center (November 15, 2019)",headline,http://www.songkick.com/artists/6137504-trst?utm_source=59227&utm_medium=partner,TR/ST,40.7154,-73.91468,Bicep,"22,692",Knockdown Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Nakoa, Allison Leah, and Robin Mitch Mitchell at Rockwood Music Hall Stage 3 (November 15, 2019)",headline,http://www.songkick.com/artists/5611773-matt-nakoa?utm_source=59227&utm_medium=partner,Matt Nakoa,40.72207,-73.98847,Fool Of A Knight,21,Rockwood Music Hall Stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Nakoa, Allison Leah, and Robin Mitch Mitchell at Rockwood Music Hall Stage 3 (November 15, 2019)",headline,http://www.songkick.com/artists/9965269-allison-leah?utm_source=59227&utm_medium=partner,Allison Leah,40.72207,-73.98847,Colorado,50,Rockwood Music Hall Stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Nakoa, Allison Leah, and Robin Mitch Mitchell at Rockwood Music Hall Stage 3 (November 15, 2019)",headline,http://www.songkick.com/artists/8894284-robin-mitch-mitchell?utm_source=59227&utm_medium=partner,Robin Mitch Mitchell,40.72207,-73.98847,We've All Gotta Lotta Love To Give,2,Rockwood Music Hall Stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Geist and Your Mom's Agency at Unknown venue (November 15, 2019)",headline,http://www.songkick.com/artists/6107949-alexander-geist?utm_source=59227&utm_medium=partner,Alexander Geist,40.71278,-74.00594,Bad Language,228,Unknown venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Geist and Your Mom's Agency at Unknown venue (November 15, 2019)",headline,http://www.songkick.com/artists/6256924-your-moms-agency?utm_source=59227&utm_medium=partner,Your Mom's Agency,40.71278,-74.00594,YMA's April podcast by Anika,2,Rockwood Music Hall Stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billy Lockett at Rockwood Music Hall Stage 2 (November 15, 2019)",headline,http://www.songkick.com/artists/4235151-billy-lockett?utm_source=59227&utm_medium=partner,Billy Lockett,40.72243,-73.98869,Empty House,"5,123",Rockwood Music Hall Stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carl Palmer Band at The Space Theater (November 15, 2019)",headline,http://www.songkick.com/artists/244756-carl-palmer-band?utm_source=59227&utm_medium=partner,Carl Palmer Band,40.75814,-73.58748,Hoedown,17,The Space Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carl Palmer's Elp Legacy at The Space at Westbury (November 15, 2019)",headline,http://www.songkick.com/artists/6138609-carl-palmers-elp-legacy?utm_source=59227&utm_medium=partner,Carl Palmer's Elp Legacy,40.75815,-73.58748,Rondeau des Indes Galantes / Ride of the Valkyries - Live,39,The Space at Westbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Birdland Big Band at Birdland Jazz Club (November 15, 2019)",headline,http://www.songkick.com/artists/3834006-birdland-big-band?utm_source=59227&utm_medium=partner,The Birdland Big Band,40.75897,-73.98962,September in the Rain - Live,14,Birdland Jazz Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Pepe at Still Partners (November 15, 2019)",headline,http://www.songkick.com/artists/9676534-chris-pepe?utm_source=59227&utm_medium=partner,Chris Pepe,40.84909,-73.64234,Waste of Time,15,Still Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Firehouse at The Cutting Room (November 15, 2019)",headline,http://www.songkick.com/artists/269513-firehouse?utm_source=59227&utm_medium=partner,Firehouse,40.74582,-73.98297,When I Look Into Your Eyes,"78,783",The Cutting Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce DiDonato, Riccardo Muti, and Chicago Symphony Orchestra at Carnegie Hall, Stern Auditorium / Perelman Stage (November 15, 2019)",headline,http://www.songkick.com/artists/2233987-joyce-didonato?utm_source=59227&utm_medium=partner,Joyce DiDonato,40.76553,-73.98005,"Aria ""Ma che vuoi più da me""",451,"Carnegie Hall, Stern Auditorium / Perelman Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce DiDonato, Riccardo Muti, and Chicago Symphony Orchestra at Carnegie Hall, Stern Auditorium / Perelman Stage (November 15, 2019)",headline,http://www.songkick.com/artists/432665-riccardo-muti?utm_source=59227&utm_medium=partner,Riccardo Muti,40.76553,-73.98005,"The Four Seasons, Concerto No. 4 in F Minor","1,796","Carnegie Hall, Stern Auditorium / Perelman Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce DiDonato, Riccardo Muti, and Chicago Symphony Orchestra at Carnegie Hall, Stern Auditorium / Perelman Stage (November 15, 2019)",headline,http://www.songkick.com/artists/87493-chicago-symphony-orchestra?utm_source=59227&utm_medium=partner,Chicago Symphony Orchestra,40.76553,-73.98005,Symphony No. 7: III. Scherzo,"3,745","Carnegie Hall, Stern Auditorium / Perelman Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Rock City with The So Lows at The Broadway (November 15, 2019)",headline,http://www.songkick.com/artists/2881401-new-rock-city?utm_source=59227&utm_medium=partner,New Rock City,40.69094,-73.92489,Right Now,5,The Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Rock City with The So Lows at The Broadway (November 15, 2019)",support,http://www.songkick.com/artists/10082525-so-lows?utm_source=59227&utm_medium=partner,The So Lows,40.69094,-73.92489,Gotta Get You,13,The Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Mountain with Ryley Walker at The Bowery Ballroom (November 15, 2019)",headline,http://www.songkick.com/artists/528367-black-mountain?utm_source=59227&utm_medium=partner,Black Mountain,40.72036,-73.99354,Wucan,"79,108",The Bowery Ballroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Mountain with Ryley Walker at The Bowery Ballroom (November 15, 2019)",support,http://www.songkick.com/artists/3723841-ryley-walker?utm_source=59227&utm_medium=partner,Ryley Walker,40.72036,-73.99354,The Roundabout,"25,046",The Bowery Ballroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATLiens with Ray Volpe and JEANIE (US) at Lost Circus, Avant Gardner (November 15, 2019)",headline,http://www.songkick.com/artists/601766-atliens?utm_source=59227&utm_medium=partner,ATLiens,40.71074,-73.92579,Contact,"1,406","Lost Circus, Avant Gardner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATLiens with Ray Volpe and JEANIE (US) at Lost Circus, Avant Gardner (November 15, 2019)",support,http://www.songkick.com/artists/7455719-ray-volpe?utm_source=59227&utm_medium=partner,Ray Volpe,40.71074,-73.92579,Hunt Me Down,"3,110","Lost Circus, Avant Gardner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATLiens with Ray Volpe and JEANIE (US) at Lost Circus, Avant Gardner (November 15, 2019)",support,http://www.songkick.com/artists/9198314-jeanie-us?utm_source=59227&utm_medium=partner,JEANIE (US),40.71074,-73.92579,Unlisted,unlisted,"Lost Circus, Avant Gardner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York Philharmonic and Bryce Dessner at David Geffen Hall, Lincoln Center (November 15, 2019)",headline,http://www.songkick.com/artists/523856-new-york-philharmonic?utm_source=59227&utm_medium=partner,New York Philharmonic,40.7723,-73.98295,Adagio for Strings,"4,436","David Geffen Hall, Lincoln Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
