Event Title ,Billing ,Songkick Artist URI,Artist,Latitude ,Longitude ,Number 1 Streamed Track ,Number of Listeners,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tom Rush at Rubin Museum Of Art (November 15, 2019)",headline,http://www.songkick.com/artists/544338-tom-rush?utm_source=59227&utm_medium=partner,Tom Rush,40.74002,-73.9978,No Regrets,"17,388",Rubin Museum Of Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kikagaku Moyo with Minami Deutsch at Warsaw (November 15, 2019)",headline,http://www.songkick.com/artists/6750884-kikagaku-moyo?utm_source=59227&utm_medium=partner,Kikagaku Moyo,40.72254,-73.9484,Smoke and Mirrors,"26,470",Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kikagaku Moyo with Minami Deutsch at Warsaw (November 15, 2019)",support,http://www.songkick.com/artists/8304893-minami-deutsch?utm_source=59227&utm_medium=partner,Minami Deutsch,40.72254,-73.9484,New Pastoral Life,"4,531",Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mxmtoon with Chloe Lilac at Gramercy Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/9541014-mxmtoon?utm_source=59227&utm_medium=partner,mxmtoon,40.73977,-73.98493,feelings are fatal,"24,583",Gramercy Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mxmtoon with Chloe Lilac at Gramercy Theatre (November 15, 2019)",support,http://www.songkick.com/artists/9103564-chloe-lilac?utm_source=59227&utm_medium=partner,Chloe Lilac,40.73977,-73.98493,Summer,"12,927",Gramercy Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Grisman at Iridium (November 15, 2019)",headline,http://www.songkick.com/artists/141530-david-grisman?utm_source=59227&utm_medium=partner,David Grisman,40.76186,-73.98333,Minor Swing,"7,896",Iridium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chucho Valdes and Chick Corea at Rose Theater, Jazz at Lincoln Center (November 15, 2019)",headline,http://www.songkick.com/artists/406653-chucho-valdes?utm_source=59227&utm_medium=partner,Chucho Valdes,40.7689,-73.982,La Comparsa,"8,688","Rose Theater, Jazz at Lincoln Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chucho Valdes and Chick Corea at Rose Theater, Jazz at Lincoln Center (November 15, 2019)",headline,http://www.songkick.com/artists/206143-chick-corea?utm_source=59227&utm_medium=partner,Chick Corea,40.7689,-73.982,Spain,"68,275","Rose Theater, Jazz at Lincoln Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Coronas with Kris Gruen at Mercury Lounge (November 15, 2019)",headline,http://www.songkick.com/artists/11215-coronas?utm_source=59227&utm_medium=partner,The Coronas,40.72216,-73.98671,Heroes or Ghosts,"6,892",Mercury Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Coronas with Kris Gruen at Mercury Lounge (November 15, 2019)",support,http://www.songkick.com/artists/1296364-kris-gruen?utm_source=59227&utm_medium=partner,Kris Gruen,40.72216,-73.98671,Half Way Down,511,Mercury Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
